id;default;legal_form;zip_code;sector;year_inc;count_emp;type_pl;sales;gross_performance;gross_profit;earn_from_op;fin_result;oth_interest_inc;oth_interest_exp;result_from_ord_bus;total_result;annual_profit;total_assets;total_liabilities_st;total_liabilities_mt;total_liabilities_lt;bank_liabilities_st;bank_liabilities_mt;bank_liabilities_lt;trade_payables_st;trade_payables_mt;trade_payables_lt;bonds_payables_st;bonds_payables_mt;bonds_payables_lt;total_equity;current_assets;monetary_current_assets;cash;trade_receivables_st;trade_receivables_lt;cf_operating;cf_investment;cf_financing
C_437;0;GmbH & Co. KG;48653;45110;1993;108.0;GKV;14449727.14;14449727.14;9385012.25;3574915.94;85955.96;85955.96;;3660871.9;3660871.9;3.73e-09;5224156.12;5194156.12;0.0;0.0;;;;;;;;;;30000.0;5099620.31;4091.12;;;;3485292.99;-14608.55;-3470698.81
C_227;0;GmbH;48565;87100;1994;457.0;GKV;31073001.62;31073001.62;31343846.57;7194046.15;-5384080.48;151181.94;5535262.42;1809965.67;1228919.67;529055.16;52167630.19;6625456.19;0.0;45522174.0;;;;134155.06;;;;;;20000.0;52138491.13;51541630.19;;;;885880.75;0.0;-885880.75
C_548;0;GmbH & Co. KG;48599;68102;2006;;GKV;27171865.24;27171865.24;992765.24;-322576.56;49.14;49.14;;-322527.42;-322527.42;-356790.05;23651426.39;17391581.97;0.0;0.0;;;;1323185.9;;;;;;6259844.42;23640692.14;11211524.27;2529987.58;8679966.92;;-7683045.38;-12678.31;6575000.0
C_104;0;GmbH;59387;46190;1990;85.0;GKV;7646000.0;7670000.0;8515000.0;2468000.0;-1913000.0;8000.0;1921000.0;555000.0;555000.0;300000.0;39034000.0;8957000.0;7338000.0;15535000.0;;7319000.0;6985000.0;184000.0;;;;;;7204000.0;12721000.0;12701000.0;4440000.0;;;1012000.0;-1949000.0;3359000.0
C_531;0;GmbH;59929;46712;1986;58.0;GKV;7434933.27;7417590.27;3307108.8;52425.2;10851.25;21151.39;10471.49;63276.45;63276.45;26574.54;9382341.14;4984946.46;327394.27;0.0;;;;4269457.49;327394.27;;;;;4070438.86;6160567.51;4440005.51;2118090.96;1401512.85;;558525.7;-261917.61;3204.87
C_110;0;GmbH;33102;71122;2002;11.0;GKV;169539000.0;169539000.0;2725000.0;1988000.0;6000.0;22000.0;16000.0;1994000.0;1994000.0;1864000.0;21177000.0;13640000.0;0.0;0.0;;;;6574000.0;;;;;;7537000.0;21177000.0;21177000.0;44000.0;19577000.0;;-88053.0;0.0;-452.0
C_449;0;GmbH & Co. KG;58332;52291;1906;;GKV;2477705.41;2952245.06;1082262.08;-123022.2;-20238.91;594.66;20833.57;-143261.11;-143261.11;-144903.41;2033038.13;303157.06;600424.55;0.0;37668.93;;;188239.21;;;;;;216579.86;1646361.37;189894.72;6479.09;;;104518.47;-173577.79;239680.82
C_522;0;GmbH;57076;41201;1898;173.0;GKV;43284562.86;43284562.86;26252584.72;-975010.45;963549.29;6125.96;490902.0;-11461.16;-11461.16;154982.13;31383167.47;7609586.7;6932000.0;9845624.02;1100000.0;6932000.0;9642680.02;1873327.94;;;;;;6995956.75;9203254.54;7606337.4;1084012.48;;;1567055.99;-4191310.43;3488265.99
C_628;0;GmbH;57072;47430;1991;54.0;GKV;44775034.08;56207825.31;16921738.87;3695150.76;-208246.87;40514.46;248761.33;3486903.89;3486903.89;1961605.54;22323168.64;75225638.14;0.0;0.0;;;;3574866.21;;;;;;6000000.0;22027931.27;19954861.5;16597867.68;3348702.45;;-6788883.38;-131398.84;2408687.53
C_241;0;GmbH;45525;35220;1987;37.0;GKV;3435954.63;3435954.63;2799223.14;683732.32;-13163.72;178779.14;191942.86;670568.6;670568.6;470933.36;17625765.9;10287679.36;0.0;0.0;;;;;;;;;;7338086.54;5137727.0;325344.54;130523.93;;;1505814.07;3526325.38;-7505599.14
C_757;0;Sonst. Gewerbetreibende;45527;43911;1998;;GKV;425895391.1;425895391.1;447282834.3;2594283.26;-2362767.44;71570.05;2435137.49;231515.82;231515.82;56237.14;292645777.8;66741536.61;22422281.18;34145267.88;7289000.0;20550127.71;21577000.0;8882426.79;;;;;;79413452.21;42039152.34;40954806.48;9507644.24;28422097.08;;9448131.73;-9586351.44;6063713.69
C_754;0;GmbH;52068;41000;1981;14.0;GKV;656002.31;656002.31;621037.03;218915.34;136.96;136.96;;219052.3;219052.3;0.0;400428.78;349299.59;0.0;0.0;;;;2696.97;;;;;;51129.19;394196.19;395063.78;3.09;29564.07;;93651.81;-3800.76;-89851.05
C_846;0;Genossenschaft;52249;68201;1902;8.0;GKV;66525756.8;67725210.4;49225531.88;-8712524.25;-443913.97;123655.32;567569.29;-9156438.22;-9156438.22;-9299422.27;62757834.59;64133309.94;0.0;74441.0;;;;;;;;;;8400000.0;28611781.45;14593714.16;6932114.41;;;-25809087.85;-1379652.63;25572892.53
C_135;0;GmbH & Co. KG;52159;73100;1994;;GKV;18502064.9;15961614.8;2476559.8;1003753.2;-357268.45;1637.0;358905.45;646484.75;646484.75;535574.8;9828654.54;6154764.98;1306652.55;0.0;1060004.52;1306652.55;;444518.2;;;;;;55000.0;9510209.74;2022720.64;1206245.65;;;1676385.89;15806.42;-527557.79
C_802;0;GmbH;52399;25735;2000;;GKV;4395739.95;4712627.59;3043569.6;404725.79;-74444.68;7320.0;81764.68;330281.11;330281.11;233501.74;8898408.31;5479502.6;0.0;0.0;;;;67402.37;;;;;;3418905.71;6588423.95;1298495.98;20128.7;53135.04;;27226.95;-152323.31;132947.99
C_917;0;GmbH & Co. KG;52511;35112;2009;;GKV;447400.08;443400.08;308902.72;19656.58;-9916.58;686.19;10602.77;9740.0;8060.0;4795.47;240329.27;201252.41;0.0;0.0;;;;;;;;;;39076.86;217444.77;38538.72;3558.11;;;-5140.92;-3314.09;13379.55
C_474;1;GmbH;53115;27110;1998;191.0;GKV;16306348.7;11951174.09;2118099.15;-129830.13;-158112.53;646.26;158758.79;-287942.66;-287942.66;-292198.32;8706720.08;8002725.33;75977.52;301266.16;5179457.05;25866.41;301266.16;1335261.17;;;;;;326751.07;8514274.85;1517273.93;17492.56;1323689.85;;-1833564.04;-5465.74;121655.74
C_593;0;GmbH & Co. KG;53881;25620;1971;;GKV;833149.21;1156169.05;861817.0;98667.52;-46942.21;299.62;47241.83;51725.31;51725.31;33349.29;983926.44;1151078.8;0.0;0.0;;;;;;;;;;19552.64;338085.83;119713.67;1591.09;102128.18;;128834.82;-15003.65;-7398.76
C_059;0;GmbH & Co. KG;53809;49410;1954;;GKV;22704000.0;30912000.0;12327000.0;-2004000.0;-65000.0;4000.0;69000.0;-2069000.0;-2069000.0;-2563000.0;45322000.0;45322000.0;0.0;0.0;;;;;;;;;;0.0;28566000.0;12336000.0;5226000.0;5606000.0;;2609000.0;-352000.0;-1793000.0
C_016;0;GmbH & Co. KG;53879;22230;1969;;GKV;757717.37;711707.37;286819.67;63436.32;-8504.62;197.18;8701.8;54931.7;54931.7;51326.45;388408.13;124948.0;69548.55;32874.61;46555.83;69548.55;32874.61;52908.44;;;;;;93001.97;164411.63;58591.94;9292.53;;;61750.34;-6639.53;-47260.2
C_777;0;GmbH;53604;96090;2010;;GKV;63565982.12;63565982.12;9857666.76;631243.35;-236931.02;163768.27;304421.32;394312.33;394312.33;160685.91;28765327.8;16070493.99;2385063.16;1341700.86;7478161.92;1857794.42;928026.86;2318426.69;;;;;;8968069.79;16321004.38;5156106.8;57022.18;4506465.77;;1254681.8;-646099.71;-689204.8
